ཨ་ཧྥེ་རི་ཁ།	Afrika
ཉི་ཧོང་།	Japan
ནོར་ཝེ།	Norwegen
སི་ཁོ་ཁྲི་ལན་ཌི།	Schottland
ཨར་ལེན་ཌ།	Irland
ཧུང་གྷ་རི།	Ungarn
ཞི་པན་ཡ།	Spanien
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Vereinigte Staaten
པེར་ཅིན།	Belgien
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Luxemburg
སའི་གོ་ལ།	Erde
འཚོ་བ།	Leben
ཤི་བ།	Tod
འགྲོ་བ་མི།	Mensch
དགའ་སྐྱིད།	Glück
ཧྥིན་ལན།	Finnland
སི་ཝེ་དེན།	Schweden
དན་མྲག	Dänemark
ཕོ་ལན།	Polen
ལི་ཐུ་ཨེ་ནི་ཡ།	Litauen
ཨི་ཏ་ལི།	Italien
སུད་སི།	Schweiz
ཨོ་སི་ཐྲི་ཡ།	Österreich
ཀེ་རི་སི།	Griechenland
ཏུར་ཀི།	Türkei
སྦི་རག	Bier
པོ་ཅུ་གྷལ།	Portugal
ཡོ་རོབ་གླིང་།	Europa
ཨེ་ཤེ་ཡ།	Asien
ལྷོ་མཐའི་གླིང་།	Antarktika
ཧོ་ལན།	Niederlande
ནེའུ་ཡོར་ཀ།	New York City
ཝ་ཤིན་ཏྲོན།	Washington, D.C.
སན་ཧྥུ་རན་སིས་ཁོ	San Francisco
པེར་ལིན།	Berlin
གློག་ཀླད།	Computer
པེར་ནེ།	Bern
ཀྲེ་ནེ་ཝ།	Genf
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguay
པ་སེལ།	Basel
ལོན་ཊོན།	London
ཁ་ཡི་རོ	Kairo
ཡ་ལི་ཧྲན་ད	Alexandria
ཕ་རི།	Paris
མེག་སི་ཀོ།	Mexiko
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Atlantischer Ozean
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Pazifischer Ozean
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	Kalifornien
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Montag
མིག་དམར།	Mars (Planet)
མ་ཨེར་སི།	Mars (Mythologie)
ཁེ་ནི་ཡ།	Kenia
ཨི་ཐི་ཨོ་པི་ཡ།	Äthiopien
ཀ་ན།	Ghana
གཟའ་མིག་དམར།	Dienstag
གཟའ་ལྷག་པ།	Mittwoch
གཟའ་ཕུར་བུ།	Donnerstag
གཟའ་པ་སངས།	Freitag
གཟའ་སྤེན་པ།	Samstag
གཟའ་ཉི་མ།	Sonntag
སེང་གེ།	Löwe
ཧྥ་རན་སི།	Frankreich
ཁྱི།	Haushund
དབྱིན་ཇི་མཉམ་འབྲེལ།	Vereinigtes Königreich
ཞི་མི།	Hauskatze
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Volksrepublik China
ཧྥ་རན་སིའི་སྐད།	Französische Sprache
ཉ།	Fische
ཨ་རག་ཉིང་ཁུ།	Ethanol
པུ་རུ་ཟིལ།	Brasilien
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	François Hollande
ཨུ་རུ་སུ།	Russland
ཕའེ།	Pi (Buchstabe)
ཨ་ལ་པ་མ།	Alabama
སན་པའུ་ལོ་	São Paulo
འཇར་མན།	Deutschland
བྷེ་ལ་རསུ།	Weißrussland
འཇར་མན་སྐད།	Deutsche Sprache
ཨཡིསུ་ལེན་ཌ།	Island
ཨིསུ་ཊོ་ནིཡ།	Estland
སྤེན་པ།	Saturn (Planet)
སྤེན་པའི་གདུབ་ཀོར།	Ringe des Saturn
དམག་འཁྲུག	Krieg
༡ (གྲངས་ཀ།)	Eins
༢ (གྲངས་ཀ།)	Zwei
༣ (གྲངས་ཀ།)	Drei
༤ (གྲངས་ཀ།)	Vier
༥ (གྲངས་ཀ།)	Fünf
༠ (གྲངས་ཀ།)	Null
ལ་ཊ་ཝིཡ།	Lettland
ཨུཀ་རཡི་ནི།	Ukraine
ཅེ་ཁེ།	Tschechien
སི་ལོ་ཕ་ཁེ།	Slowakei
སི་ལོ་ཝེ་ནི་ཡ།	Slowenien
ལྦེ་ནི་སུ་ནི།	Vilnius
མོལ་དོ་ཝ།	Moldawien
རོ་མ་ནི་ཡ།	Rumänien
པུ་ར་ག་རི་ཡ།	Bulgarien
རོ་མ།	Rom
མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	Mazedonien
ཨལ་པ་ཉི་ཡ།	Albanien
གེ་རེན་ལ	Grönland
ཁུརོ་ཤི་ཡ།	Kroatien
བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	Bosnien und Herzegowina
ཨ་ཛར་བཡི་ཇན།	Aserbaidschan
ཨན་ཌོར་ར།	Andorra
སེ་པི་རི་སི།	Republik Zypern
འཇོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	Georgien
ཀཛ་ཀིསུ་གཏན།	Kasachstan
མལ་ཏ།	Malta
མོ་ན་ཁོ།	Monaco
མོན་ཊེནིག་རོ།	Montenegro
ཝ་ཏི་ཀན་གྲོང་ཁྱོར།	Vatikanstadt
སན་མ་རི་ནོ།	San Marino
པུའུ་ལུའུ་སེལ​།	Region Brüssel-Hauptstadt
ཀུ་བ།	Kuba
བེ་ལི་ཛི།	Belize
བར་བ་ཌོ་སི།	Barbados
ཨིན་རྡུ་ནི་ཤིས་ཡ།	Indonesien
ལྷོ་ཨ་ཧྥེ་རི་ཁ།	Südafrika
ཨཱལ་ཇི་རི་ཡ།	Algerien
ཨུ་ཟ་བྷེ་ཁི་སི་ཐན།	Usbekistan
ཕྰོ་ཟོ་ནན།	Posen
ཐ་ཧྲི་ཀན།	Taschkent
ཝར་སོ།	Warschau
ཆུ།	Wasser
ཆགས་སློང་རྩོམ་རིག	Pornografie
ཁ་ལའོ་ཊ་མོ་ནེ།	Claude Monet
ཅི་ལི།	Chile
ཡེ་ཤུ།	Jesus Christus
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	Elvis Presley
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Galileo Galilei
ལྷག་པ།	Merkur (Planet)
ལོ་རྒྱུས།	Geschichte
པ་སངས།	Venus (Planet)
སྐད་རིགས།	Sprache
བརྩེ་དུང་།	Liebe
ཕུར་བུ།	Jupiter (Planet)
སྐར་མ་གནམ་རྒྱལ།	Uranus (Planet)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Neptun (Planet)
སེང་ག་ཕོར།	Singapur
ཚན་རིག	Wissenschaft
མིར་ཡམ །	Maria (Mutter Jesu)
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Sport
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Erster Weltkrieg
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Zweiter Weltkrieg
ཧྥུ་ཐ་ཅ་ཨ་རག	Wodka
སི་ཀོཔ་ཇི།	Skopje
རྩིས་རིག	Mathematik
ལ་ཏིན་སྐད།	Latein
བྷཧ་རཡིན།	Bahrain
ཨར་མེ་ནི་ཡ།	Armenien
སེར་བྷི་ཡ།	Serbien
ཟླ་བ།	Mond
ཨོ་སེ་ཐེ་ལི་ཡ།	Australien
དངོས་ཁམས་རིག་པ་	Physik
ཨར་ཇེན་ཊི་ན།	Argentinien
པེ་རུ།	Peru
སྐྱེ་དངོས་རིག་པ།	Biologie
བྱང་ཀོ་རི་ཡ།	Nordkorea
ཁམ་པོ་ཛ།	Kambodscha
ཁུ་རན་གསུང་རབ།	Koran
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Ljubljana
རྩི་ཤིང་རིག་པ།	Botanik
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Rad
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Frieden
ལི་ཡོང་།	Lyon
བུད་མེད།	Frau
སོ་ཧྥི་ཡ།	Sofia
ཐང་རྗི་ཁོཏ།	Don Quijote
སྙན་ངག	Poesie
མི་ལཱན།	Mailand
ཁྱིམ་དྲན་སེམས་ནད།	Gedächtnis
ཊུ་རིན།	Turin
ལེ་མོན།	Zitrone
མེ་ཏོག	Blüte
ཇོ་མོ་གླང་མ།	Mount Everest
གཤག་བཅོས་རིག་པ།	Anatomie
གྲོང་ཁྱེར།	Stadt
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesuv
ཉི་མ།	Sonne
གྲོང་ཚོ།	Dorf
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Ozeanien
ཉི་མའི་ཁྱིམ་རྒྱུད།	Sonnensystem
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Tag
ཤར་ཏིམོར།	Osttimor
དགོང་མོ།	Nacht
ལོ་	Jahr
རེན་གཙང་པོ།	Rhein
ཨོ་སི་ལོ།	Oslo
བྷོ་ཨིན།	Bonn
ནག་ཁུང་།	Schwarzes Loch
ལི་སི་བཱོན།	Lissabon
ལུའོ་ནེའུ་གཙང་པོ།	Rhone
མིའི་རིགས་ཀྱི་ཆགས་སྦྱོར་གྱི་བྱ་སྤྱོད།	Sex
ཧྥོར་ཅཱ་གཙང་པོ།	Wolga
གསོ་རླུང་།	Sauerstoff
གཡོ་སྐར།	Planet
རོལ་དབྱངས།	Musik
ཝེ་ནེ་ཟི་ཡ།	Venedig
པོ་གཙང་པོ།	Po (Fluss)
མོ་སི་ཁོ།	Moskau
ཨི་ཏ་ལིའི་སྐད།	Italienische Sprache
སན་པི་ཏི་པོག	Sankt Petersburg
ཆཱ་ཌ།	Tschad
བྱང་ཕྱོགས།	Norden
ནིའུ་ཛི་ལེན་ཌི།	Neuseeland
རྒྱ་གར།	Indien
ཏུ་ཝ་ལུ།	Tuvalu
ཚིག་ལྷུག	Prosa
ཊོང་ག	Tonga
ནུབ་ཕྱོགས།	Westen
ས་མོའ།	Samoa
ཤར་ཕྱོགས།	Osten
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Salomonen
ཝ་ནུའ་ཏུ།	Vanuatu
མོའོ་ལིས་ཨེར།	Molière
པ་པུ་འ་ནིའུ་གི་ནེ།	Papua-Neuguinea
ཞེ་ཁུ་སི་པེར།	William Shakespeare
པ་ལའུ།	Palau
ནའུ་རུ།	Nauru
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Föderierte Staaten von Mikronesien
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Marshallinseln
ཀི་རི་བ་ཏི།	Kiribati
སོག་ཡུལ།	Mongolei
ཧྥི་ཇི།	Fidschi
ཝེ་ནེ་ཟུའེ་ལ།	Venezuela
རྒྱལ་སྤྱིའི་མིག་མངས།	Schach
རྟ།	Hauspferd
ཨེམ་སི་ཊར་ཌམ།	Amsterdam
མཚོན་ཆ།	Waffe
སུ་རི་ནེམ།	Suriname
པ་ར་གུ་ཡེ།	Paraguay
གུ་ཡ་ན།	Guyana
སྒྱུ་རྩལ།	Kunst
ཨེ་ཁོའོ་ཌོར།	Ecuador
ཁོ་ལོམ་བི་ཡ།	Kolumbien
ནང་བསྟན།	Buddhismus
བྷོ་ལི་ཝི་ཡ།	Bolivien
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Trinidad und Tobago
སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	St. Vincent und die Grenadinen
ནེའུ་ཧམ་ཕུ་ཤར།	New Hampshire
སེན་ཊ་ལུ་ཤི་ཡ།	St. Lucia
ལེ་ཨོ་ན་ཏོ་ཏ་ཧྥིན་ཆི།	Leonardo da Vinci
སེན་ཊི་ཀི་ཊི་སི་དང་ནེ་བི་སི།	St. Kitts und Nevis
ཇ་མའི་ཀ	Jamaika
གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Grenada
གུ་ཝེ་ཐི་མ་ལ།	Guatemala
བ་ཧ་མཱ་སི།	Bahamas
བྱ་ཏེ་	Haushuhn
ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།	Antigua und Barbuda
ཧ་ཝ་ཡི།	Hawaii
ཧོང་དུ་ར་སི།	Honduras
ཌོ་མི་ནི་ཀ	Dominica
ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Dominikanische Republik
ཕག་པ།	Hausschwein
ཧའི་ཏི།	Haiti
ཨིལ་སལ་ཝ་ཌོར།	El Salvador
ཡི་ལང་།	Iran
ཡི་ལའ་ཁོ།	Irak
ཁོ་ས་ཏ་རི་ཁ	Costa Rica
ཨི་སི་ར་ཨེལ།	Israel
པ་ན་མ།	Panama
ཡེ་མེན།	Jemen
ཕོ་ལན་སྐད།	Polnische Sprache
རྗོར་ཌན།	Jordanien
ནི་ཀ་ར་གུ་ཝ།	Nicaragua
ཧྥོ་ལོ་རི་ཌ།	Florida
ཀེ་རེ་གེཛུ་སུཏེན།	Kirgisistan
ཨྰ་རི་ཟོ་ནྰ།	Arizona
ཁུ་ཝི་ཐི།	Kuwait
ལའོ་སུ།	Laos
ལེ་པ་ནོན།	Libanon
མལ་དི་ཝེསུ།	Malediven
ཨ་མེ་རི་ཁ་གླིང་ཆེན།	Amerika
ཡུ་ཊ།	Utah
གླང་གོག་	Hausrind
མ་ལ་ཤི་ཡ།	Malaysia
བྷར་མ།	Myanmar
བལ་ཡུལ།	Nepal
ཨོ་མན།	Oman
པ་ཀི་སི་ཐན	Pakistan
ཁ་ཏར།	Katar
ཏན་ནེ་སི་སྤོ་ལོ།	Tennis
སའུ་དི་ཨ་ར་པི་ཡ།	Saudi-Arabien
སེང་ག་གླིང་།	Sri Lanka
སི་རི་ཡ།	Syrien
ཕི་ལ་ཐོན།	Platon
ཐ་ཇི་ཁེ་སི་ཏན།	Tadschikistan
ཐའེ་ཝན།	Republik China (Taiwan)
ཐའི་ལེན།	Thailand
