非洲	Afrika
Thàn	Kohlenstoff
Tham	Stickstoff
Yòng	Sauerstoff
Hàng-sên	Planet
Yîm-ngo̍k	Musik
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moskau
Fuk	Fluor
Yi-thai-li-ngî	Italienische Sprache
Nái	Neon
Sṳn Pí-tet-páu	Sankt Petersburg
Na̍p	Natrium
北	Norden
Mî	Magnesium
Lî (鋁)	Aluminium
Néu Sî-làn	Neuseeland
南	Süden
Yin-thu	Indien
Si̍t	Silicium
Fap	Francium
Lìn	Phosphor
Thiet	Eisen
Tûng-kâ	Tonga
西	Westen
Liù-vòng	Schwefel
東	Osten
Liu̍k	Chlor
Pâ-pu-â Néu-kí-nui-â	Papua-Neuguinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Kalium
Koi	Calcium
Yèn	Blei
Mùng-kú-koet	Mongolei
Khong (鈧)	Scandium
Thai	Titan (Element)
Genghis Khan	Dschingis Khan
Fàm	Vanadium
Mien-yîn	Maine
Kok	Chrom
Mâ	Hauspferd
Thûng-vu̍t	Tier
Sû-li-nàm	Suriname
Màng	Mangan
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Kunst
Lòi	Rhenium
Kô-lùn-pí-â	Kolumbien
Kû	Cobalt
Vû	Wolfram
Ngiap (鎳)	Nickel
Fu̍t-kau	Buddhismus
Pô-li-vì-â	Bolivien
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad und Tobago
Chhṳ̍t-vu̍t	Pflanzen
Sîn	Zink
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaika
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Provinz Drente
Overijssel-sén	Provinz Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Provinz Gelderland
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Haushuhn
Ha-vî-yî	Hawaii
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
Tô-mí-nì-kâ Khiung-fò-koet	Dominikanische Republik
Kâ-chû (Thung-vu̍t)	Hausschwein
Hói-thi	Haiti
Sat-ngì-ngá-tô	El Salvador
Yî-lóng	Iran
Yî-là-khiet	Irak
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israel
Pâ-nâ-mâ	Panama
Ya̍p-mùn	Jemen
Phiang-thu̍k	Viren
Pô-làn-ngî	Polnische Sprache
Yok-tan	Jordanien
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Florida
Kit-ngí-kit-sṳ̂-thán	Kirgisistan
Â-li-sông-ná	Arizona
Khô-vî-thi̍t	Kuwait
Liàu-koet	Laos
Lì-pâ-nun	Libanon
O-le̍t-kông	Oregon
Gi-tuk-gaau zung geh sin	Gott (Christentum)
Mâ-ngì-thoi-fû	Malediven
Yù-thâ	Utah
Mâ-lòi-sî-â	Malaysia
Mién-thien	Myanmar
Nì-pok	Nepal
Â-man	Oman
Pâ-kî-sṳ̂-thán	Pakistan
Khà-tha̍t	Katar
Mióng-khiù	Tennis
Sâ-vû-thi Â-lâ-pak	Saudi-Arabien
Sṳ̂-lî-làn-khà	Sri Lanka
Si-li-â	Syrien
Kâ	Gallium
Thap-kit-khiet-sṳ̂-thán	Tadschikistan
中華民國	Republik China (Taiwan)
YouTube	YouTube
Châ	Germanium
Thai-koet	Thailand
Sṳ̂n	Arsen
Thú-khû-man-sṳ̂-thán	Turkmenistan
Abakan	Abakan (Stadt)
Sî	Selen
Yî	Iridium
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Vereinigte Arabische Emirate
Tshiù (溴)	Brom
Pha̍k (鉑)	Platin
Ye̍t-nàm	Vietnam
Thai-hòn Mìn-koet	Südkorea
Khiet	Krypton
Â-fu-hon	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Lù	Rubidium
Kîm	Gold
Men-kâ-lâ-koet	Bangladesch
Ufa	Ufa (Stadt)
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Quecksilber
Fî-li̍t-pîn	Philippinen
Thò	Thallium
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Strontium
Yet	Yttrium
Pit	Bismut
Vòng-set	Gelb
Tsan-pí-â	Sambia
Sîn-pâ-pu-vî	Simbabwe
北京	Peking
Tuva Khiung-fò-koet	Tuwa
