ܐܦܪܝܩܐ	Afrika
ܝܦܢ	Japan
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	Südamerika
ܢܘܪܒܝܓ	Norwegen
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Irland
ܡܓܪ	Ungarn
ܐܣܦܢܝܐ	Spanien
ܐܘܚܕܢܐ ܡܚܝܕܐ	Vereinigte Staaten
ܒܠܓܝܩܐ	Belgien
ܠܘܟܣܡܒܘܪܓ	Luxemburg
ܬܒܝܠ	Universum
ܐܪܥܐ	Erde
ܡܘܬܐ	Tod
ܒܪ ܐܢܫܐ	Mensch
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finnland
ܣܘܝܕ	Schweden
ܕܐܢܡܐܪܩ	Dänemark
ܦܘܠܢܕ	Polen
ܠܬܘܢܝܐ	Litauen
ܐܝܛܠܝܐ	Italien
ܣܘܝܣܪܐ	Schweiz
ܢܡܣܐ	Österreich
ܝܘܢ	Griechenland
ܛܘܪܩܝܐ	Türkei
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa
ܐܣܝܐ (ܝܒܫܬܐ)	Asien
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	Nordamerika
ܐܢܛܐܪܩܛܝܩܐ	Antarktika
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Niederlande
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	New York City
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington, D.C.
ܒܪܠܝܢ	Berlin
ܚܫܘܒܐ (ܡܐܟܢܐ)	Computer
ܒܪܢ	Bern
ܬܣܝܪܝܟ	Zürich
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	London
ܐܠܟܣܢܕܪܝܐ	Alexandria
ܦܐܪܝܣ	Paris
ܡܟܣܝܩܘ	Mexiko
