ܐܦܪܝܩܐ	Afrika
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Atlantischer Ozean
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Pazifischer Ozean
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Montag
ܟܢܘܢ ܒ	Januar
ܫܒܛ	Februar
ܐܕܪ	März
ܟܘܫ	Äthiopien
ܢܝܣܢ	April
ܐܝܪ	Mai
ܚܙܝܪܢ	Juni
ܬܡܘܙ	Juli
ܐܒ	August
ܐܝܠܘܠ	September
ܬܫܪܝܢ ܐ	Oktober
ܬܫܪܝܢ ܒ	November
ܟܢܘܢ ܐ	Dezember
ܬܠܬܒܫܒܐ	Dienstag
ܐܪܒܥܒܫܒܐ	Mittwoch
ܚܡܫܒܫܒܐ	Donnerstag
ܥܪܘܒܬܐ	Freitag
ܫܒܬܐ (ܙܒܢܐ)	Samstag
ܚܕܒܫܒܐ	Sonntag
ܐܪܝܐ	Löwe
ܦܪܢܣܐ	Frankreich
ܟܠܒܐ	Haushund
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Vereinigtes Königreich
ܩܛܐ	Hauskatze
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	Volksrepublik China
ܠܫܢܐ ܦܪܢܣܝܐ	Französische Sprache
ܒܪܐܙܝܠ	Brasilien
ܪܘܣܝܐ	Russland
ܝܡܐ	Meer
ܝܡܐ ܐܘܟܡܐ	Schwarzes Meer
Π	Pi (Buchstabe)
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Québec
ܓܪܡܢ	Deutschland
ܒܠܐܪܘܣ	Weißrussland
ܠܫܢܐ ܓܪܡܢܝܐ	Deutsche Sprache
ܐܠܗܐ	Gott
ܐܣܛܘܢܝܐ	Estland
ܛܝܣܬܐ	Flugzeug
ܩܪܒܐ	Krieg
1 (ܡܢܝܢܐ)	Eins
2 (ܡܢܝܢܐ)	Zwei
3 (ܡܢܝܢܐ)	Drei
4 (ܡܢܝܢܐ)	Vier
5 (ܡܢܝܢܐ)	Fünf
ܠܐܛܒܝܐ	Lettland
ܐܘܩܪܐܝܢܐ	Ukraine
ܬܫܝܟ	Tschechien
ܣܠܘܒܩܝܐ	Slowakei
ܣܠܘܒܢܝܐ	Slowenien
ܡܘܠܕܘܒܐ	Moldawien
ܪܘܡܢܝܐ	Rumänien
ܒܘܠܓܐܪܝܐ	Bulgarien
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Rom
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	Mazedonien
ܐܠܒܢܝܐ	Albanien
ܩܪܘܐܛܝܐ	Kroatien
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnien und Herzegowina
ܐܙܪܒܝܓܐܢ	Aserbaidschan
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Republik Zypern
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgien
ܩܙܩܣܛܐܢ	Kasachstan
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Monaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vatikanstadt
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Region Brüssel-Hauptstadt
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Türkische Sprache
ܓܙܐܐܪ	Algerien
ܐܘܙܒܩܣܛܐܢ	Usbekistan
ܘܐܪܣܘ	Warschau
ܚܡܪܐ (ܫܬܝܐ)	Wein
ܡܝܐ	Wasser
ܦܪܣ ܚܙܘܐ	Fernsehen
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesus Christus
ܠܫܢܐ (ܡܡܠܠܐ)	Sprache
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Diktatur
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomie
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Maria (Mutter Jesu)
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latein
ܒܚܪܝܢ	Bahrain
ܐܪܡܢܝܐ	Armenien
ܣܪܒܝܐ	Serbien
ܣܗܪܐ	Mond
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istanbul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australien
ܦܝܣܝܟ	Physik
ܩܘܪܐܢ	Koran
ܐܣܠܐܡ	Islam
ܟܡܬܪܐ	Birnen
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Frieden
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	Europäische Union
ܐܢܬܬܐ	Frau
ܛܝܙܐ	Anus
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Achsel
ܗܒܒܐ	Blüte
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomie
ܡܕܝܢܬܐ	Stadt
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleon Bonaparte
ܟܘܟܒܐ	Stern
ܫܡܫܐ	Sonne
ܩܪܝܬܐ	Dorf
ܝܡܐ ܕܡܕܢܚܐ	Ostsee
ܫܢܐ	Zahn
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Buch
ܝܘܡܐ	Tag
ܠܠܝܐ	Nacht
ܫܢܬܐ (ܙܒܢܐ)	Jahr
ܕܪܐ	Jahrhundert
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lissabon
ܦܠܝܛܐ	Planet
ܙܡܪܘܬܐ	Musik
ܡܘܣܩܒܐ	Moskau
ܠܫܢܐ ܐܝܛܠܝܐ	Italienische Sprache
ܬܫܐܕ	Tschad
ܬܝܡܢܐ	Norden
ܢܝܘ ܙܝܠܢܕ	Neuseeland
ܓܪܒܝܐ	Süden
ܗܢܕܘ	Indien
ܦܪܙܠܐ	Eisen
ܡܥܪܒܐ	Westen
ܡܕܢܚܐ	Osten
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Schach
ܡܝܢ	Maine
ܣܘܣܝܐ	Hauspferd
ܐܡܣܛܪܕܐܡ	Amsterdam
ܙܝܢܐ	Waffe
ܚܝܘܬܐ	Tier
ܩܘܠܘܡܒܝܐ	Kolumbien
ܢܝܘ ܗܐܡܦܫܪ	New Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Provinz Utrecht
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Iran
ܥܝܪܐܩ	Irak
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Jemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Polnische Sprache
ܝܘܪܕܢܢ	Jordanien
ܩܝܪܓܝܙܣܛܐܢ	Kirgisistan
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Libanon
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	Amerika
ܝܘܬܐ	Utah
ܫܠܡܐ (ܦܬܓܡܐ)	Ciao (Gruß)
ܥܘܡܐܢ	Oman
ܦܐܩܣܛܐܢ	Pakistan
ܩܛܪ	Katar
ܣܥܘܕܝܐ	Saudi-Arabien
ܝܘܣܦ ܣܛܐܠܝܢ	Josef Stalin
ܣܘܪܝܐ	Syrien
ܛܐܓܝܩܣܛܐܢ	Tadschikistan
ܦܪܣ ܩܠܐ	Hörfunk
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistan
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	Vereinigte Arabische Emirate
ܐܦܓܐܢܣܛܐܢ	Afghanistan
ܕܗܒܐ	Gold
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Philippinen
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	Zentralafrikanische Republik
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Gelb
ܬܘܢܣ (ܐܬܪܐ)	Tunesien
ܬܝܡܢܐ ܕܣܘܕܐܢ	Südsudan
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	Republik Kongo
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	Demokratische Republik Kongo
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Johannes Paul II.
ܛܒܝܠܝܣܝ	Tiflis
ܩܐܡܪܘܢ	Kamerun
ܠܘܒܐ	Libyen
ܡܘܪܝܛܢܝܐ	Mauretanien
ܡܓܪܒ	Marokko
ܢܝܓܪ	Niger
ܣܘܕܐܢ	Sudan
ܩܫܬܐ ܕܡܪܢ	Regenbogen
ܗܐܡܒܘܪܓ	Hamburg
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Ontariosee
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Oberer See
ܓܐܘܓܪܦܝܐ	Geographie
ܠܒܐ	Herz
ܡܘܚܐ	Gehirn
ܓܠܕܐ	Haut
ܓܘܢܐ	Farbe
ܦܪܐܓ	Prag
ܙܪܩܐ	Blau
ܟܣܦܐ (ܣܐܡܐ)	Silber
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Michigansee
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	North Dakota
ܣܐܘܬ ܕܐܟܘܬܐ	South Dakota
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalem
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Indischer Ozean
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Winter
ܬܕܐܐ	Frühling
ܩܝܛܐ	Sommer
ܬܫܪܝܬܐ	Herbst
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hussein
ܠܫܢܐ ܐܣܦܢܝܐ	Spanische Sprache
ܓܘܓܝ	Webspinnen
ܐܒܐ (ܦܐܪܐ)	Frucht
ܒܪܓܝܢܝܐ	Virginia
ܝܡܬܐ ܕܝܘܪܘܢ	Huronsee
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	New York (Bundesstaat)
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island
ܪܚܫܐ	Insekten
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio
ܦܢܣܝܠܒܐܢܝܐ	Pennsylvania
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	Augustus
ܢܝܘ ܓܝܪܣܝ	New Jersey
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Automobil
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia
ܣܩܠܝܐ	Autonome Region Sizilien
ܣܢ (ܢܗܪܐ)	Seine
ܛܘܩܝܘ	Präfektur Tokio
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Ferdinand Magellan
ܢܝܘ ܡܝܟܣܝܟܘ	New Mexico
ܐܬܢܘܣ	Athen
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Missouri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Nordsee
ܒܝܝܢܐ	Wien
ܩܘܦܢܗܐܓܢ	Kopenhagen
ܣܛܘܩܗܘܠܡ	Stockholm
ܗܠܣܢܩܝ	Helsinki
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bibel
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	Wahre Jesus-Kirche
ܠܫܢܐ ܐܢܓܠܝܐ	Englische Sprache
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción (Chile)
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Scotia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	New Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	British Columbia
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Prince Edward Island
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Neufundland und Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Nordwest-Territorien
ܝܘܩܘܢ	Yukon (Territorium)
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Lebensmittel
ܚܘܝܐ	Schlangen
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Chemie
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Holocaust
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Provinzen und Territorien Kanadas
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago de Chile
ܚܐܪܘܬܐ	Freiheit
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Grün
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Rot
ܢܘܪܐ (ܕܠܩܐ)	Feuer
ܢܝܠܘܣ	Nil
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Algier
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunis
ܛܗܪܐܢ	Teheran
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damaskus
ܥܡܐܢ	Amman
ܒܝܪܘܬ	Beirut
ܒܝܬ ܨܘܒܐ	Universität
ܒܝܬܐ (ܒܢܝܢܐ)	Haus
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Australien (Kontinent)
ܢܗܪܐ	Fluss
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Kap der Guten Hoffnung
ܫܘܚܡܠܐ	Investition
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Wald
ܩܘܢܦܘܫܝܘܣ	Konfuzius
ܩܢܐ	Nest
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Mittelmeer
ܓܘܪܓܝܐ	Georgia (Begriffsklärung)
ܡܫܝܚܝܘܬܐ	Christentum
ܩܠܒܐ:ܐܘܝܐ	Vorlage:Pro
ܪܘܙܐ	Reis
ܝܒܫܬܐ	Kontinent
ܛܝܪܐ	Vögel
ܐܪܫܟܝܬܐ	Hauptstadt
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Portugiesische Sprache
ܝܪܚܐ	Monat
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Japanische Sprache
ܦܐܬܐ ܪܝܫܝܬܐ	Wikipedia:Hauptseite
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco de Goya
ܝܡܐ ܐܚܪܝܐ	Kaspisches Meer
ܝܡܬܐ ܕܐܝܪܝ	Eriesee
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt van Rijn
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Ninive
ܒܒܠ	Babylon
ܐܝܪܝܚܘ	Jericho
ܩܛܠܘܢܝܐ	Katalonien
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Autonome Gemeinschaft Madrid
ܒܝܬ ܠܚܡ	Bethlehem
ܣܕܪܐ:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
ܪܫܡܠܘܬܐ	Kapitalismus
ܐܘܡܬܐ	Nation
ܩܪܬܐܓܘ	Karthago
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Kategorie:Astronomie
ܨܚܪܐܐ	Sahara
ܫܐܕܐ	Teufel
ܒܝܬ ܟܬܒܐ	Bibliothek
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Regierung
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shihuangdi
ܡܕܢܚܐ ܡܨܥܝܬܐ	Mittlerer Osten
ܡܠܟܘܬܐ	Monarchie
ܩܘܛܢܝܘܬܐ	Republik
ܐܬܪܐ	Staat
ܓܒܐ	Politische Partei
ܝܗܘܕܝܐ	Juden
ܝܡܡܬܐ ܪܘܪܒܬܐ	Große Seen
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Südlicher Ozean
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Ohr
ܢܚܝܪܐ	Nase
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Auge
ܙܡܝܪܬܐ	Lied
ܓܡܠܐ	Altweltkamele
ܫܘܫܡܢܐ	Ameisen
ܕܒܫܬܐ	Bienen
ܠܫܢܐ ܗܘܠܢܕܝܐ	Niederländische Sprache
ܐܡܐ (ܒܝܬܝܘܬܐ)	Mutter
ܐܒܐ (ܒܝܬܝܘܬܐ)	Vater
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Morgen (Tageszeit)
ܪܡܫܐ	Abend
ܩܛܝܢܬܐ	Minute
ܠܫܢܐ ܪܘܣܝܐ	Russische Sprache
ܩܢܘܢܐ	Recht
ܠܫܢܐ ܨܝܢܝܐ	Chinesische Sprachen
ܕܡܐ	Blut
ܬܓܪܘܡܬܐ	Skelett
ܪܐܬܐ	Lunge
ܠܫܢܐ ܪܘܡܢܝܐ	Rumänische Sprache
ܡܛܪܐ	Regen
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Gestein
ܥܢܢܐ	Wolke
ܩܢܘܢܐ ܕܠܥܙܐ	Grammatik
ܠܫܢܐ ܓܘܪܓܝܐ	Georgische Sprache
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Wirtschaftswissenschaft
ܙܘܙܐ	Währung
ܡܕܐܬܐ	Steuer
ܐܠܦܒܝܬ ܥܪܒܝܐ	Arabisches Alphabet
ܐܠܦܒܝܬ ܝܘܢܝܐ	Griechisches Alphabet
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Lateinisches Alphabet
ܣܕܪܐ:ܦܪܢܣܐ	Kategorie:Frankreich
ܟܢܫܐ	Gesellschaft (Soziologie)
ܓܒܪܐ	Mann
ܙܘܘܓܐ	Ehe
ܙܕܩܐ ܕܒܪܢܫܐ	Menschenrechte
ܩܪܒܐ ܓܘܝܐ	Bürgerkrieg
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Brustbein
ܬܪܝܢܐ	Fruchtsaft
ܚܠܒܐ (ܕܝܘܒܐ)	Milch
ܛܘܪܐ	Berg
ܡܕܒܪܐ	Wüste
ܠܫܢܐ ܐܠܒܢܝܐ	Albanische Sprache
ܠܫܢܐ ܐܪܡܢܝܐ	Armenische Sprache
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Schwedische Sprache
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Mose
ܬܕܐ	Weibliche Brust
ܢܘܗܪܐ (ܚܙܝܬܐ)	Licht
ܠܫܢܐ ܝܘܢܝܐ	Griechische Sprache
ܠܫܢܐ ܦܪܣܝܐ	Persische Sprache
ܬܘܕܝܬܐ	Religion
ܐܒܪܗܡ	Abraham
ܣܦܪܐ ܕܒܪܝܬܐ	1. Buch Mose
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Nordchinesische Dialekte
ܦܘܠܘܣ ܫܠܝܚܐ	Paulus von Tarsus
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Salat (Gericht)
ܝܗܘܕܝܘܬܐ	Judentum
ܠܫܢܐ ܥܒܪܝܐ	Hebräische Sprache
ܟܒܕܐ	Leber
ܛܚܠܐ	Milz
ܟܘܠܝܬܐ	Niere
ܫܠܦܘܚܬܐ	Harnblase
ܐܫܟܐ	Hoden
ܐܘܩܝܢܘܣ	Ozean
ܒܘܕܗܐ	Siddhartha Gautama
ܡܘܚܡܕ	Mohammed
ܟܪܣܐ	Abdomen
ܚܒܠܐ ܟܘܒܝܐ	Rückenmark
ܘܪܝܕܐ	Vene
ܡܪܒܥܐ	Gebärmutter
ܠܫܢܐ (ܗܕܡܐ)	Zunge
ܓܝܕܐ	Nerv
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Hals
ܦܘܡܐ	Mund
ܓܓܪܬܐ	Kehlkopf
ܡܥܝܐ	Darm
ܫܪܝܬܐ	Gelenk
ܚܕܝܐ	Brust
ܬܝܪܬܐ	Drüse
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Zwerchfell
ܫܪܝܢܐ	Arterie
A	A
B	B
ܢܘܛܦܬܐ	Sperma
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alphabet
T	T
C	C
R	R
D	D
Α	Alpha
Ω	Omega
I	I
Μ	My
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo
Φ	Phi
ܝܘܢܐ	Tauben
ܐܝܠܢܐ	Baum
Λ	Lambda
ܓܒܬܐ	Käse
ܥܢܒܬܐ	Weintraube
ܕܒܫܐ	Honig
ܒܣܪܐ	Fleisch
ܫܟܪ	Zucker
ܣܦܪܙܒܢܐ	Zeitung
ܙܥܘܩܐ	Telefon
ܡܪܕܘܬܐ	Kultur
ܡܥܝܐ ܥܒܝܐ	Dickdarm
ܡܥܝܐ ܩܛܝܢܐ	Dünndarm
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Julianischer Kalender
ܐܣܝܘܬܐ	Medizin
ܡܠܚܐ (ܐܨܪܐ)	Speisesalz
ܣܕܪܐ:ܒܪܐܙܝܠ	Kategorie:Brasilien
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Winkel
ܬܘܩܦܐ	Energie
ܣܦܝܢܬܐ	Schiff
ܩܠܐ (ܨܘܬܐ)	Schall
ܙܓܘܓܝܬܐ	Glas
ܫܛܝܚܘܬܐ	Flächeninhalt
ܡܢܝܢܐ	Zahl
ܪܦܦܐ	Sekunde
ܣܥܪܬܐ	Gerste
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Liste der Staaten der Erde
ܒܝܬ ܢܗܪܝܢ	Mesopotamien
ܕܒܐ	Bären
ܬܠܗܝܐ	Krebs (Medizin)
ܡܠܟܐ	König
ܚܛܬܐ	Weizen
ܣܘܪܓܕܐ	Kalender
ܟܘܪܗܢܐ	Krankheit
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Gregorianischer Kalender
ܟܦܣܐ	Menstruation
ܥܡܐ ܩܪܕܘܝܐ	Kurden
ܓܫܪܐ	Brücke
ܡܓܕܠܐ (ܒܢܝܢܐ)	Turm
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	Lateinamerika
