ᐊᑉᕆᖄ	Afrika
ᓃᑉᐊᓐ	Japan
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Südamerika
ᓄᕐᒋ/nurgi	Norwegen
ᓯᐸᐃᓐ	Spanien
ᐊᒥᐊᓕᑲ	Vereinigte Staaten
ᓄᓇ	Erde
ᐄᒃ	Mensch
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Schweden
ᐳᓚᓐᑦ	Polen
ᓕᐋᑐᕙ	Litauen
Italy	Italien
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Asien
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Nordamerika
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Penis
ᐱᕐᓖᓐ	Berlin
ᖃᕋᓴᐅᔭᖅ	Computer
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᒎᒐᓪ	Google Inc.
ᒦᒃᓰᖂ	Mexiko
ᑳᓖᐴᕐᓃᐊ	Kalifornien
ᒧᓇᑖᒃ	Montag
ᔭᓐᓄᐊᓕ	Januar
ᕕᐳᐊᕆ	Februar
ᓇᑦᓯᐊᓕᐅᑦ	März
ᐊᐃᐳᕆᓪ	April
ᒪᐃ	Mai
ᔪᓂ	Juni
ᔪᓚᐃ	Juli
ᐊᐅᒍᔅ	August
ᓯᑎᒻᐳᕆ	September
ᐅᒃᑐᐳᕆ	Oktober
ᓄᕕᒻᐳᕆ	November
ᑎᓯᒻᐳᕆ	Dezember
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Haushund
China	Volksrepublik China
ᐅᐃᒍᐃᕐᒥᐅᖅ	Französische Sprache
ᐃᖃᓗᒃ	Fische
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alkoholisches Getränk
ᐅᓛᓴ	Russland
ᐊᕐᕕᒃ	Wale
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Québec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Deutschland
ᑎᖕᒥᓲᖅ	Flugzeug
ᐊᑭᕋᖅᑑᑎᔪᑦ	Krieg
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Grönland
ᖂᐹ/quupaa	Kuba
ᐄᓅᓯᐊ	Indonesien
ᓯᓕ	Chile
ᐱᐅᓕᑦᓯᔨ	Jesus Christus
ᒥᕐᑰᕆ	Merkur (Planet)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Geschichte
ᕖᓄᔅ	Venus (Planet)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Liebe
ᐅᕌᓄᔅ	Uranus (Planet)
ᓂᑉᑑᓐ	Neptun (Planet)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomie
ᑉᓘᑐ	Pluto
ᒧᕆᐊᓪ	Montreal
ᑕᖅᑭᖅ	Mond
ᐊᔅᑦᕌᓕᐊ	Australien
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Physik
ᐱᕉ	Peru
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biologie
ᐊᖏᐋᕐᓂᖅ	Kot
ᐃᑎᖅ	Anus
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Blüte
ᓄᓇᓖᑦ	Stadt
ᐅᓪᓗᕆᐊᖅ	Stern
ᓯᕿᓂᖅ	Sonne
ᕿᓚᒃ	Himmel (planetär)
ᐅᓯᐋᓂᐊ	Ozeanien
ᕿᒥᕐᕈᐊᑦ/qimirruat	Buch
ᖃᐅ	Tag
ᐅᑭᐅᖅ	Jahr
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ ᐊᑯᓐᓂᖓᓐᓂ ᒪᒡᒎᒃ ᐊᖑᑦ	Gay
ᒨᔅᑯ	Moskau
ᐃᓐᑎᐊ	Indien
ᓂᕐᔪᑦ	Tier
ᐱᕈᖅᑐᖅ	Pflanzen
ᒫᓵᓲᓰᑦᔅ	Massachusetts
ᐊ'ᐊ'ᐋᒃ	Haushuhn
ᐃᕉᒃ	Irak
ᐊᓛᓯᑲ	Alaska
ᑉᓘᕇᑖ	Florida
ᐋᕇᓲᓈ	Arizona
ᐆᕇᕇᓐ	Oregon
ᐸᑭᔅᑕᓐ	Pakistan
ᓄᑕᒐᒃ	Säugling
ᔪᓚᐃᐅᔅ	Gaius Iulius Caesar
ᓄᓇᓕᕆᓂᖅ	Geologie
ᓄᓇᐅᔪᖅ	Geographie
ᐄᓚᓄᐃᔅ	Illinois
ᑖᑰᑖ ᑐᓄᕕᐊᖅ	North Dakota
ᑖᑰᑖ ᓂᒋᖅ	South Dakota
ᐄᑖᓲ	Idaho
ᓂᕚᑖ	Nevada
ᑰᓘᕌᑑ	Colorado
ᓰᖄᑯ	Chicago
ᓯᐸᐃᓂᑎᑐᑦ	Spanische Sprache
ᐋᓯᕙᖅ	Webspinnen
ᒪᒪᖅᑐᖅ, ᓰᕐᓇᖅᑐᖅ ᐱᕈᖅᑐᖅ	Frucht
ᓂᐅ ᐃᐅᕐᒃ	New York (Bundesstaat)
ᐅᓵᐃᐅ	Ohio
ᐃᐊᐃᑖᓯᓐ/iaitaatsin	Uetersen
ᐊᐅᒍᔅᒻᐅᔅ	Augustus
ᐃᓐᑎᐋᓈ	Indiana
ᑖᒃᓵᔅ	Texas
ᑳᕉᓖᓈ ᑐᓄᕕᐊᖅ	North Carolina
ᑳᕉᓖᓈ ᓂᒋᖅ	South Carolina
ᑑᑭᐅ	Präfektur Tokio
